smoothness,grad_norm
2167.518,38.98757
0.0,0.0
407.59116,0.0
5336.46,74.95923
1633.5243,67.87053
129.11491,13.293614
263.0525,13.759686
230.31485,9.760875
41.15329,7.0782366
179.06796,7.4025793
9683.937,16.751091
0.0,0.0
0.0,0.0
1954.2964,0.0
108581.75,46.057346
248.98634,1.265772
747.7962,0.0
53702.28,50.80785
8735.879,146.24997
2451.5896,16.14812
4696.577,27.976177
15405.653,2.2813692
54465.29,343.7835
88463.38,240.27893
2523.2961,179.07475
2442.5142,56.32096
128.89763,10.712071
356.21582,11.32696
269.1551,17.247343
911.7696,14.890162
50639.95,146.01454
12483.347,60.560276
2059.7124,85.47827
10884.456,1.3092324
11855.357,161.94205
3833.399,176.28183
56573.945,407.64243
6417.8867,68.6738
234.91002,20.605505
598.23456,22.289452
7560.689,17.635248
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
19318.934,0.0
1202.389,45.05937
31849.598,42.326866
13604.193,144.33704
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
2072.8577,0.0
25094.523,192.2617
813.7208,0.0
23982.33,123.038
593.51447,18.879908
3897.0793,25.496328
6881.512,3.033973
8644.607,22.507128
8450.479,0.0
4205.9624,98.02816
10806.68,148.02542
4863.44,154.91928
10258.747,166.21506
215130.3,1245.802
14001.862,87.52333
14369.787,42.227215
16086.725,253.59529
8538.915,238.04108
10068.242,146.27971
358.32605,14.488676
182.06238,12.297348
314.31793,13.306251
166.70267,7.4390907
174.74614,9.883996
154.20929,9.779083
176.22296,8.833579
202.75041,11.232298
271.89935,12.650714
400.38803,9.331447
6063.5728,149.60214
176.3942,7.9979897
251.76965,11.678576
296.93784,8.347095
15611.993,43.193134
20638.719,203.22844
5331.4673,92.66859
88771.1,69.71584
2137.5835,36.720627
587.0832,16.734257
1397.4441,26.605415
10295.851,42.30274
51413.062,401.7654
3235.7812,164.76497
3377.285,123.63731
3585.65,126.19654
7499.252,100.75714
434.1244,18.216297
129.33405,6.0343947
278.66245,11.556676
505.4432,14.335609
12794.394,24.15911
3216.9365,95.276344
17230.014,117.54115
19423.715,207.30069
1047.7397,22.72841
448.90234,39.035484
15119.744,37.96821
11637.441,272.9804
90409.71,373.74173
0.0,0.0
0.0,0.0
0.0,0.0
601.37994,0.0
303.98358,2.9702432
0.0,0.0
0.0,0.0
0.0,0.0
22584.482,279.89413
31619.035,7.7966156
28311.586,790.07214
83.355385,8.554928
187.3399,8.709881
785.5622,11.802248
64458.74,89.206635
5720.082,358.55014
117002.336,176.21826
284663.4,301.97562
18307.814,382.296
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
3654.1133,48.12666
0.0,0.0
18305.736,103.46314
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
7980.6094,20.48548
43086.06,388.05582
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
11452.859,0.0
99275.14,380.74603
3200.3105,131.25378
1855.8304,14.339772
5655.205,0.0
3398.8176,50.383224
504.02307,19.010424
175.44478,8.396277
236.31427,9.808917
176.68768,12.632311
400.32114,11.5523
10640.42,22.682514
929.80444,0.0
2726.611,97.18888
900.7307,13.403458
83245.94,371.9932
65561.41,285.02225
88437.445,1001.99646
10300.518,163.2884
338.7031,14.32619
313.05222,11.818352
710.8061,15.576493
4167.952,35.256943
114978.36,237.89543
34857.63,368.15994
29525.256,391.83762
631.62537,19.83168
222.11522,12.469598
