smoothness,grad_norm
10883.114,180.21692
155.13655,14.655349
336.77808,15.347874
277.83936,15.317915
100.1925,12.717008
236.74992,13.381126
340.70505,15.631027
294.51544,9.414584
234.61914,17.83421
374.2998,16.162565
132.88158,7.8378525
178.67787,9.735729
230.35114,12.1072
188.13197,7.997181
273.95377,12.598597
566.16693,15.336313
1009.4875,32.697414
628.44165,22.4872
1244.8933,32.478283
491.35657,18.055578
680.25116,21.441275
2849.6616,28.867031
19900.07,148.8009
15051.037,144.73396
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
451.1551,2.4384437
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1855.1305,2.4189641
1772.7161,44.334053
2669.017,66.984695
16818.06,59.333282
7347.289,112.57317
52553.78,215.7394
12418.714,257.00732
22886.834,221.42715
11501.27,101.06339
8819.613,189.9609
11917.733,134.67412
4974.8696,26.842125
19436.85,248.48813
2683.6736,43.926403
586.3196,19.510069
248.4289,12.20389
226.75392,8.530336
1317.6313,17.83485
150556.42,94.750626
9672.391,44.91854
20085.465,203.30763
33567.24,97.71683
15378.151,216.39362
3168.956,133.63968
20420.432,116.69293
15307.383,497.58908
959.41327,0.14243175
19068.584,21.077427
3745.4521,82.77922
1193.279,54.165756
4140.631,61.961586
359.3863,15.315086
154.82841,7.448684
347.55597,10.475691
692.7021,22.36706
281.21945,9.399328
716.6729,22.132853
485.07788,14.852564
944.1109,20.595562
1572.1794,24.067556
3116.6755,53.76889
568.95984,13.081857
839.47833,34.604694
868.8999,26.437304
111.370056,9.124908
117.09718,7.9691124
150.17934,9.17149
84.41375,8.028992
165.63129,7.1889887
416.9358,12.713611
716.90015,20.75462
741.3795,13.173136
44963.24,156.78674
5664.6396,219.86328
393.52762,1.8456606
1344.758,8.697716
265.86203,3.2418962
2932.8892,9.609364
671.26996,7.836789
938.3421,0.0
12445.806,111.551506
19719.809,264.33865
5584.819,210.44635
14857.268,148.15149
20216.457,112.589806
1038.7445,6.621033
115.919495,0.0
164.12048,0.5983875
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
17.030025,0.074940674
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
259.9127,0.0
30980.592,257.10925
31816.926,431.7076
25193.902,345.11612
44193.914,421.5422
14694.29,224.815
72824.71,487.27097
22676.346,219.22267
1434.0161,26.481495
1232.0343,47.488194
7995.611,38.39792
52555.25,300.40463
38530.285,306.63867
2051.8582,8.163713
1506.2206,6.2007947
1046.9875,0.5232516
10379.966,103.39117
33.0864,0.25940648
208.90627,0.988956
101.18491,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
2899.9014,0.6863663
14199.574,175.58145
6693.7295,5.2822704
12701.747,17.2573
18.461412,0.1390153
0.0,0.0
1006.77734,2.1392715
5228.0537,1.7486738
365.9104,2.917609
71.665634,0.1292399
153.6707,1.4876481
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
158.42564,0.29934323
1968.2548,6.725008
135.61577,0.9871698
3112.0586,9.340059
108.54604,1.1665822
364.79202,0.0
204.84395,0.0
24195.646,53.405663
9096.425,235.29904
2155.8735,0.5233673
1673.6863,1.9335529
18719.97,160.86713
2729.4866,18.709023
8148.494,59.322975
2306.3904,48.43639
4223.7407,21.900629
675.6559,0.05024807
7660.168,60.7296
3156.7869,23.363495
2125.805,13.29024
103.18158,0.47774455
272.7363,0.0
1789.921,13.583128
25915.564,64.00657
14865.358,316.72568
23775.12,292.13385
242.49663,16.84018
719.3282,16.808195
1180.3405,36.770866
