smoothness,grad_norm
6004.684,121.732216
224.90198,14.248037
52.47333,6.4230046
330.08813,7.386558
18575.826,231.96161
5230.236,18.891447
4193.749,97.35759
0.0,0.0
38.89285,1.1833898
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
7391.1416,14.097376
21231.434,402.03378
13062.7705,27.09776
18556.861,160.42058
413.5477,4.1554875
0.0,0.0
0.0,0.0
121.54838,0.0
6192.611,164.25891
334.70203,11.73283
804.4729,19.825878
1979.249,44.296474
174.48042,13.94066
915.9751,12.968255
7047.6235,224.89908
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
81201.625,45.142433
24486.781,295.26816
17265.24,373.11926
38951.035,87.07594
31265.162,69.20623
4844.169,32.15015
11870.264,281.17053
241.65921,9.283059
1143.5104,16.88749
18179.863,599.14636
20648.59,395.2951
461.88855,13.133325
845.73395,25.935837
1031.6016,17.145763
6700.7847,185.93799
127.40632,8.465221
183.08162,10.798923
167.77922,8.709487
162.13432,10.6314535
202.56532,9.384139
575.64087,12.703082
5643.9272,78.406364
3600.6633,32.72489
32572.348,441.94193
494.69748,18.498089
239.9783,11.211359
265.77142,13.807677
102.875275,6.4384594
200.12772,8.42055
1360.376,15.634119
3932.249,1.307129
103.017654,0.7182037
0.0,0.0
969.6838,0.0
108.097046,9.505112
95.50525,10.457559
264.71967,10.41229
340.21594,15.144017
1071.5538,12.026507
0.0,0.0
0.0,0.0
203.8599,0.0
86656.14,909.9338
563.7894,27.573854
61.574352,5.6204953
39.66855,3.4900498
67.55305,4.723363
100.64134,7.616834
57.498158,4.4993978
75.90101,6.2435236
97.93865,6.18814
140.7162,8.262501
106.65228,5.6443343
247.47316,12.743337
356.8258,10.040683
4263.381,52.039936
97991.36,287.3731
347.40552,5.6487017
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
10476.854,164.63213
312.46658,16.776094
907.1145,14.064672
55720.42,600.40765
2234.355,26.887123
7673.836,133.26833
2046.9232,14.770531
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
46959.707,0.0
5560.208,53.389442
23559.229,258.9808
0.0,0.0
1028.2972,0.0
374.2984,9.575832
18442.676,368.3465
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
4739.8193,75.76133
1593.546,20.117115
38700.15,597.5659
944.754,16.273077
2868.0264,86.0104
123.34952,8.156121
88.897545,5.3605576
201.36284,8.994046
171.15018,12.5158825
220.46951,11.408499
121.59373,8.392173
307.86954,7.811964
56134.4,0.0
7029.8286,82.63969
5504.131,28.756775
27222.975,428.71786
1204.2048,22.698542
176695.12,52.088825
3758.739,6.4201164
649.421,21.042973
459.46542,16.694725
2089.1284,20.656866
118.03553,4.2323422
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1969.5184,36.72558
0.0,0.0
17943.818,0.0
532.5979,18.164606
315.32962,11.219725
362.4028,16.12711
126.46561,7.9912004
90.971756,6.767206
99.92472,5.2489924
572.18524,16.187134
1520.0046,23.161053
3692.9844,58.931206
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
9621.442,0.0
39410.496,25.162127
0.0,0.0
9188.636,0.0
503.63464,81.324936
3192.3235,85.451126
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
