smoothness,grad_norm
77423.336,1013.1744
0.0,0.0
768.6092,0.15093188
17740.512,341.32007
849.26373,23.601612
496.94907,13.086239
337.20135,21.819664
5906.811,19.993132
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
13734.531,0.5377196
8810.893,287.43314
0.0,0.0
0.0,0.0
0.0,0.0
19200.617,66.170685
16444.383,5.4382586
32582.355,146.53603
11466.572,141.53346
3787.2234,162.94492
7108.0684,252.92592
12004.829,273.83038
0.0,0.0
0.0,0.0
0.0,0.0
1011.6139,0.0
6072.118,33.93294
3378.238,32.02144
4482.7485,23.999754
4391.183,117.56218
5846.673,106.20502
442.3612,15.749917
291.63205,11.256363
230.17221,10.702518
79.3048,7.562681
155.9962,8.118704
198.56674,11.033469
284.73193,10.578469
231.04318,12.103683
159.62885,10.644987
182.86131,10.052949
162.50525,11.993217
292.86484,11.882825
234.21564,9.840397
438.0073,20.809153
753.54865,22.801317
320.0296,14.437998
454.85724,15.01074
724.96454,23.244558
213.8388,11.085039
97.233734,8.500475
240.21826,8.89603
849.29944,18.99759
731.8404,36.185207
1875.044,39.103527
577.6024,20.503414
139.48718,11.820565
354.94757,12.281018
224.37727,24.352678
2858.8796,23.853136
12616.883,18.084286
1197.5149,38.190823
213.562,9.79478
176.2886,8.542923
326.27844,14.049675
185.45709,8.464839
419.2742,13.559911
206.67793,22.52883
653.28467,21.765093
181.2345,11.223367
199.05869,10.230232
214.59029,9.466608
418.1811,13.054892
824.1543,23.738033
8327.676,35.12381
4284.981,1.2768618
21869.049,103.60473
24549.602,249.2718
185.40683,0.0
154672.5,677.15204
3099.5835,1.4954885
4464.984,24.484707
2005.494,0.0
572.946,14.459685
1079.2802,32.58731
184.83527,10.736998
176.57533,8.434782
694.31616,13.679457
14564.061,161.99196
3051.6375,11.23489
1463.1921,0.0
21799.963,322.58063
1718.7329,39.914185
465.14227,12.52623
3084.8923,35.927193
10033.354,103.55572
815.90125,34.02531
6461.5596,44.347404
13876.945,214.30495
178191.44,89.99806
14958.812,252.20778
2039.6385,0.0
39724.89,341.77066
17941.322,414.3268
24413.271,192.04077
18523.732,296.25034
499.0125,23.140326
579.6864,18.865124
1089.5763,24.890705
1555.6986,36.119957
411.45712,17.152967
157.10672,7.592884
162.0254,12.992879
399.7759,11.086861
2046.7135,42.5172
104565.33,72.5491
24100.098,342.53052
0.0,0.0
0.0,0.0
14.476058,0.0
1079.596,9.89901
0.0,0.0
0.0,0.0
25458.215,18.691751
44099.93,104.14768
23408.014,352.10825
2373.487,24.761822
17203.797,356.62704
129.88757,1.2367752
0.0,0.0
4591.861,0.0
7029.668,102.859634
1523.6464,18.40103
42058.56,588.0521
0.0,0.0
2480.1133,0.118379064
49540.76,322.98062
2115.3782,46.19632
439.86267,14.732097
643.07074,19.989983
597.97156,15.264327
1087.429,26.60507
476.4711,17.895851
287.6401,9.606311
635.60614,23.916185
6327.4604,28.350657
6908.707,22.927492
8195.834,114.71216
0.0,0.0
42496.88,348.38596
12201.063,0.0
1398.157,30.559996
316.07718,20.34628
1021.82916,20.444248
3849.1365,37.774845
23948.232,116.35847
86716.63,138.07056
1752.2627,38.41403
456.6099,15.252165
429.8991,19.433868
970.56055,21.883076
1207.2488,35.71286
222.73161,10.897509
150.47453,12.912217
63.460503,12.302381
720.55,12.752076
6386.507,271.13107
138837.31,993.75867
121.16785,1.282768
0.0,0.0
471.23267,2.9664865
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
127.57756,0.0
539.9492,6.2270465
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
