smoothness,grad_norm
58423.87,531.42896
1885.7998,21.490118
0.0,0.0
535.0907,8.339577
0.0,0.0
0.0,0.0
0.0,0.0
13109.795,20.14345
297.90506,4.205672
0.0,0.0
0.0,0.0
2143.3384,19.933264
33662.527,304.382
19441.602,252.19841
19887.8,96.68768
12033.69,236.74376
7083.7847,108.54734
13884.988,124.87289
35679.707,416.57727
793.8662,19.746641
809.9966,14.775058
6965.403,58.591957
2015.258,24.781103
6032.6567,59.810337
2341.735,59.83923
3306.1543,49.878754
1302.3286,19.591997
13775.331,119.35514
7616.268,263.5239
3741.2786,15.478943
11174.54,76.450645
9.067352,0.12171511
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
463.80795,1.7587118
7983.492,28.613388
1487.1383,2.7885418
9495.536,59.962383
116.19478,0.0
734.8189,7.338381
0.0,0.0
82.523575,0.0
854.59937,2.173611
61.21732,0.18285088
474.67697,0.0
1386.5465,0.89331114
2460.299,14.66118
708.3354,2.7197757
1318.8436,1.969231
12514.467,137.6523
37810.55,170.67867
17971.799,210.06789
14134.375,133.8641
3196.0615,24.563871
21688.605,334.2216
38780.0,281.2678
41652.797,178.80228
5764.6904,68.92999
3711.8606,42.357166
12413.669,126.13495
1422.2118,24.26183
28348.912,112.69936
166948.23,1366.7704
13691.682,79.305916
13745.852,172.18364
811.12946,18.689997
584.09406,12.152096
1311.6036,15.100605
15081.555,162.63441
1982.0265,23.538834
5050.1484,83.389145
620.23224,11.553868
18131.201,42.37481
42852.58,450.281
12846.264,124.78028
90.24978,0.0
18149.355,39.74982
9176.214,110.37207
3393.271,40.863716
16135.194,124.39211
19900.95,277.2392
1139.6437,0.12061275
36950.68,105.45335
4458.9287,64.09937
28036.186,29.441162
49.86995,0.7070876
0.0,0.0
9951.666,14.506281
17520.0,295.31866
142144.64,106.55989
15224.283,269.33237
13483.895,115.80947
5932.867,177.13277
15010.9,36.772484
12104.4375,169.4015
32.615555,0.31232235
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
6462.817,51.965294
29074.7,282.7867
9419.51,0.46104154
76174.84,238.49234
16009.564,98.36912
10928.889,56.86216
1886.4979,18.758324
0.0,0.0
550.07544,6.896282
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
447.44687,0.057943113
4099.6685,44.359234
5932.579,16.594606
47529.11,22.93357
9307.8,164.29483
5921.1963,66.840065
19638.025,34.52523
112406.69,1472.613
1315.1149,34.59897
724.35754,25.77025
1066.9956,21.054214
10823.5205,35.092213
58561.387,503.52692
13633.733,44.07931
349567.47,256.4989
16801.393,308.31107
1622.2877,36.393322
1245.3365,22.365692
3526.95,49.424393
2805.3071,20.870907
20534.15,176.32999
9428.022,130.29907
426.26157,15.721903
269.83823,10.7917795
213.74763,8.607486
301.13657,12.534077
241.25781,9.909807
460.47906,15.804576
694.2869,24.502647
513.2967,20.388088
379.17307,17.38834
762.8916,16.05118
3196.8376,48.10084
840.78326,26.248302
746.1401,20.312428
427.14343,24.613583
873.5183,21.776411
9882.44,31.17972
34728.105,61.11125
73933.66,167.44673
15120.814,52.14598
52062.047,526.1041
47134.277,116.25713
10781.666,291.63043
8055.7676,60.97585
12667.616,95.04623
71851.59,203.86255
134492.33,147.46913
258523.16,905.43726
24807.945,166.29599
6856.684,183.88382
5800.363,140.29411
8267.83,118.61399
624.1994,14.638562
2265.2898,24.862368
9817.709,123.975235
8488.46,155.16843
68100.93,136.18973
31210.465,391.65384
1096.8052,30.042627
298.84503,10.884932
581.2457,15.106849
1945.5096,24.915068
8333.551,80.40853
2072.5278,23.033457
13977.195,199.91147
69724.625,533.7245
64841.164,151.45221
25035.488,315.67844
6943.5176,120.05946
6521.731,142.85149
4320.484,47.463875
509.39233,26.930408
