smoothness,grad_norm
5.8628416,0.093640454
5.7431664,0.09415455
6.7663856,0.08095376
7.5613647,0.08457098
7.0147495,0.08492105
6.4131656,0.08528207
7.641945,0.09183244
7.1950765,0.08821254
6.2945156,0.09296817
7.369713,0.09512124
7.540625,0.09242711
6.0840383,0.095359065
7.198855,0.09778094
5.3745656,0.10111634
4.993768,0.115100704
7.9932504,0.09817779
6.8076954,0.13623269
6.2884583,0.10448241
5.1943445,0.10903223
6.0986986,0.15331165
6.782854,0.13671839
6.0115166,0.14076993
6.5420594,0.14970693
6.1050644,0.1404329
8.882701,0.14096332
11.473688,0.21890736
7.7523036,0.23164469
11.103178,0.20787533
5.7271795,0.20672773
10.965806,0.19147266
11.515796,0.27410656
15.574824,0.24202037
18.858257,0.3827562
17.68105,0.29698414
19.336887,0.593383
14.510518,0.6690169
20.782183,0.601986
20.098167,0.67355376
17.92381,0.9277134
15.629848,0.55394715
18.174774,0.7966124
14.33358,0.7259967
22.466925,0.80346626
12.563826,0.76709443
19.241549,0.30857325
28.917799,0.9490074
18.407309,1.2679919
22.812233,1.6138185
23.128485,1.2492646
20.267118,1.3282876
21.301449,1.0120655
21.21546,1.5254498
20.764233,1.1874878
15.671604,0.6479025
27.005144,0.7813311
33.59126,1.6840303
9.258771,1.2137461
20.58358,0.3884023
30.40925,1.0081407
32.1592,2.0613527
10.438607,0.83061016
12.911273,1.3516636
17.911448,0.74931216
17.990486,1.1201446
21.799643,1.1472589
24.9729,1.0921249
27.122662,2.3691864
11.380633,0.9103342
12.262168,0.89795727
11.872667,0.45974457
20.748629,0.743032
29.349796,0.7527894
29.563528,2.043667
24.583002,4.5404167
5.360723,0.53167015
4.313661,0.37306666
4.7855473,0.3571567
4.4359617,0.4362345
4.732455,0.5562873
4.705249,0.4989058
4.0186367,0.4661319
4.636177,0.44186848
5.3727674,0.46200982
4.834937,0.451931
8.0283375,0.49809036
8.844753,0.42251512
8.683929,0.5349644
15.34343,0.40852106
36.5272,1.268716
33.941654,2.9496443
21.138918,8.813179
4.218256,0.48749873
3.2077115,0.32258418
3.6977289,0.22591996
3.7195404,0.20043834
4.527527,0.16230646
3.0278351,0.15961343
3.8550498,0.13133478
